시간,시가,고가,저가,종가,거래량,거래대금
"06/14,12:55","70,500","71,400","70,400","71,400","39,681","2,814,491,100"
"06/14,12:54","70,600","70,700","69,300","70,500","109,165","7,644,706,800"
"06/14,12:53","71,500","71,600","70,400","70,500","75,323","5,337,193,700"
"06/14,12:52","72,000","72,000","71,500","71,600","11,469","823,173,400"
"06/14,12:51","71,400","72,100","71,300","72,000","24,310","1,743,384,800"
"06/14,12:50","72,300","72,300","71,400","71,400","40,264","2,888,774,400"
"06/14,12:49","72,300","72,500","72,000","72,300","24,878","1,794,562,700"
"06/14,12:48","72,500","72,700","72,300","72,300","6,452","467,528,200"
"06/14,12:47","72,800","73,000","72,600","72,600","9,144","666,312,100"
"06/14,12:46","72,500","72,800","72,200","72,800","10,931","791,581,800"
"06/14,12:45","72,600","72,700","72,500","72,600","3,244","235,432,700"
"06/14,12:44","72,800","72,900","72,600","72,600","3,863","281,154,500"
"06/14,12:43","72,900","72,900","72,600","72,900","4,900","356,510,600"
"06/14,12:42","72,200","73,100","72,200","72,800","14,977","1,089,781,500"
"06/14,12:41","72,400","72,500","72,200","72,200","6,926","501,148,700"
"06/14,12:40","72,600","72,600","72,300","72,500","7,386","534,793,600"
"06/14,12:39","72,400","72,900","72,200","72,600","13,026","943,884,800"
"06/14,12:38","73,100","73,100","72,400","72,400","5,905","428,864,600"
"06/14,12:37","72,700","73,200","72,300","72,800","16,081","1,167,573,900"
"06/14,12:36","72,800","72,800","72,600","72,700","6,351","461,592,500"
"06/14,12:35","73,200","73,300","72,800","72,800","8,281","605,183,200"
"06/14,12:34","73,000","73,300","73,000","73,200","5,814","425,207,300"
"06/14,12:33","72,600","73,100","72,500","73,000","5,741","418,370,100"
"06/14,12:32","73,000","73,000","72,400","72,500","10,986","798,616,000"
"06/14,12:31","73,000","73,100","72,300","73,000","23,078","1,676,664,200"
"06/14,12:30","73,500","73,500","72,900","72,900","8,774","642,384,600"
"06/14,12:29","73,500","73,600","73,200","73,400","4,989","366,017,500"
"06/14,12:28","73,200","73,800","73,200","73,500","9,392","690,903,500"
"06/14,12:27","73,400","73,500","72,700","73,300","22,531","1,646,318,000"
"06/14,12:26","73,800","73,800","73,400","73,400","9,329","686,546,100"
"06/14,12:25","74,000","74,100","73,500","73,800","8,057","594,266,300"
"06/14,12:24","74,100","74,200","73,500","74,000","14,493","1,070,498,600"
"06/14,12:23","74,000","74,400","73,900","74,100","25,590","1,899,163,700"
"06/14,12:22","74,200","74,200","73,600","73,900","15,862","1,173,967,300"
"06/14,12:21","73,300","74,300","73,200","74,100","27,116","2,005,919,700"
"06/14,12:20","74,000","74,000","73,100","73,200","24,519","1,802,830,500"
"06/14,12:19","73,000","74,200","73,000","73,900","55,803","4,118,144,100"
"06/14,12:18","72,700","73,100","72,500","73,000","20,204","1,472,513,300"
"06/14,12:17","72,400","72,900","72,200","72,700","24,201","1,754,369,300"
"06/14,12:16","71,600","72,600","71,500","72,400","32,653","2,349,595,500"
"06/14,12:15","72,000","72,100","71,100","71,600","61,264","4,381,447,600"
"06/14,12:14","72,500","72,700","71,800","72,100","36,005","2,597,787,300"
"06/14,12:13","72,600","73,000","72,500","72,500","13,410","975,145,800"
"06/14,12:12","73,000","73,000","72,300","72,600","16,392","1,190,594,700"
"06/14,12:11","73,300","73,500","73,000","73,000","9,796","718,009,400"
"06/14,12:10","72,800","73,500","72,700","73,400","17,287","1,264,508,200"
"06/14,12:09","72,400","73,000","72,300","72,800","20,234","1,472,017,000"
"06/14,12:08","73,100","73,400","72,000","72,400","47,882","3,473,436,300"
"06/14,12:07","73,500","73,600","72,900","73,100","19,777","1,446,899,300"
"06/14,12:06","73,800","73,900","73,400","73,500","7,780","572,087,300"
"06/14,12:05","73,600","74,000","73,500","73,800","5,562","410,132,500"
"06/14,12:04","73,800","73,900","73,600","73,600","4,272","314,896,400"
"06/14,12:03","74,300","74,300","73,700","73,700","9,925","735,230,200"
"06/14,12:02","73,600","74,300","73,500","74,300","18,575","1,373,036,700"
"06/14,12:01","73,500","73,600","72,800","73,500","45,175","3,302,040,300"
"06/14,12:00","73,700","73,800","73,400","73,400","11,717","861,716,800"
"06/14,11:59","73,900","74,000","73,500","73,700","12,861","947,704,200"
"06/14,11:58","74,000","74,200","73,900","73,900","6,407","474,182,500"
"06/14,11:57","73,900","74,000","73,800","74,000","4,987","368,412,800"
"06/14,11:56","74,000","74,200","73,900","73,900","5,232","387,328,900"
"06/14,11:55","74,300","74,300","74,000","74,100","3,902","289,481,400"
"06/14,11:54","74,600","74,600","74,200","74,300","6,110","454,782,100"
"06/14,11:53","74,400","74,600","74,200","74,600","7,040","523,786,800"
"06/14,11:52","73,900","74,400","73,700","74,400","13,592","1,006,453,900"
"06/14,11:51","73,800","74,000","73,400","73,800","26,507","1,952,325,200"
"06/14,11:50","74,100","74,300","73,700","73,700","9,873","730,717,900"
"06/14,11:49","74,400","74,500","74,000","74,100","11,268","836,231,800"
"06/14,11:48","74,400","74,600","74,300","74,400","4,062","302,406,700"
"06/14,11:47","74,400","74,600","74,300","74,300","3,925","292,041,700"
"06/14,11:46","74,600","74,700","74,400","74,400","5,060","377,207,500"
"06/14,11:45","74,400","74,700","74,300","74,600","5,552","413,502,000"
"06/14,11:44","74,600","74,700","74,400","74,400","3,934","293,103,700"
"06/14,11:43","74,200","74,900","74,200","74,700","9,238","690,093,700"
"06/14,11:42","74,700","74,700","74,200","74,200","9,710","721,999,400"
"06/14,11:41","74,800","75,000","74,600","74,600","14,312","1,072,002,300"
"06/14,11:40","75,000","75,100","74,700","74,900","11,746","879,727,300"
"06/14,11:39","74,400","75,100","74,300","75,100","14,437","1,080,696,200"
"06/14,11:38","74,800","74,900","74,200","74,400","16,358","1,221,168,500"
"06/14,11:37","74,200","74,800","73,900","74,800","23,473","1,747,269,100"
"06/14,11:36","73,600","74,200","73,500","74,100","12,987","958,299,000"
"06/14,11:35","73,900","74,000","73,000","73,500","47,920","3,517,494,200"
"06/14,11:34","73,900","74,500","73,800","73,900","12,696","941,745,300"
"06/14,11:33","73,800","74,200","73,600","73,900","21,988","1,625,215,100"
"06/14,11:32","74,300","74,500","73,800","73,800","29,880","2,214,041,900"
"06/14,11:31","74,300","74,800","74,300","74,400","5,979","445,450,900"
"06/14,11:30","74,700","74,700","74,300","74,300","12,372","921,873,000"
"06/14,11:29","75,000","75,000","74,700","74,700","6,726","503,203,100"
"06/14,11:28","74,600","75,200","74,500","75,000","11,844","886,476,600"
"06/14,11:27","74,300","74,800","74,200","74,500","13,369","995,493,500"
"06/14,11:26","74,800","74,900","74,200","74,400","30,079","2,239,346,400"
"06/14,11:25","75,200","75,200","74,500","74,800","29,277","2,191,196,600"
"06/14,11:24","75,400","75,400","75,100","75,100","7,702","579,475,400"
"06/14,11:23","75,100","75,500","75,000","75,300","6,405","481,873,100"
"06/14,11:22","75,600","75,700","75,100","75,200","13,747","1,036,222,200"
"06/14,11:21","75,400","75,800","75,200","75,600","17,185","1,299,153,100"
"06/14,11:20","75,200","75,400","75,100","75,300","6,657","500,780,400"
"06/14,11:19","75,100","75,400","75,000","75,300","8,850","665,490,400"
"06/14,11:18","75,200","75,300","75,000","75,000","7,167","538,683,000"
"06/14,11:17","75,400","75,500","75,000","75,300","9,539","717,165,400"
"06/14,11:16","75,400","75,800","75,200","75,400","19,901","1,502,904,900"
"06/14,11:15","74,800","75,400","74,700","75,400","11,982","898,822,900"
"06/14,11:14","74,700","75,300","74,500","74,700","26,332","1,970,331,800"
"06/14,11:13","75,300","75,400","74,600","74,700","36,994","2,772,852,000"
"06/14,11:12","75,200","75,600","75,000","75,300","18,675","1,406,201,700"
"06/14,11:11","75,200","75,500","74,900","75,100","31,779","2,389,603,200"
"06/14,11:10","76,200","76,500","73,700","75,100","117,195","8,774,560,800"
"06/14,11:09","76,700","77,700","76,000","76,200","64,782","4,982,825,000"
"06/14,11:08","76,800","77,100","76,300","76,700","24,321","1,864,692,700"
"06/14,11:07","75,900","77,000","75,900","76,800","31,601","2,415,277,100"
"06/14,11:06","76,100","76,500","75,400","76,000","38,413","2,917,767,200"
"06/14,11:05","77,000","77,600","75,000","76,000","66,204","5,075,292,400"
"06/14,11:04","76,700","78,100","76,400","76,900","90,162","6,976,206,300"
"06/14,11:03","75,200","77,000","75,100","76,600","69,923","5,337,074,800"
"06/14,11:02","75,500","75,600","75,200","75,200","11,816","891,370,900"
"06/14,11:01","74,800","75,700","74,700","75,500","28,010","2,110,931,900"
"06/14,11:00","75,000","75,100","74,500","75,000","21,783","1,628,372,000"
"06/14,10:59","75,100","75,200","74,800","75,000","10,099","757,440,200"
"06/14,10:58","75,000","75,300","74,700","75,200","13,533","1,014,396,400"
"06/14,10:57","74,900","75,400","74,800","75,000","20,764","1,558,660,100"
"06/14,10:56","75,300","75,700","74,300","75,000","44,486","3,334,859,200"
"06/14,10:55","75,500","76,200","75,200","75,200","42,383","3,210,425,100"
"06/14,10:54","74,900","75,900","74,800","75,500","31,578","2,383,232,900"
"06/14,10:53","74,800","75,500","74,700","75,000","29,080","2,185,083,900"
"06/14,10:52","75,200","75,200","74,700","74,700","30,773","2,307,367,600"
"06/14,10:51","74,300","75,500","74,000","75,100","53,836","4,035,774,000"
"06/14,10:50","73,700","74,700","73,500","74,100","78,723","5,840,404,300"
"06/14,10:49","75,500","76,100","73,400","73,700","129,340","9,637,660,800"
"06/14,10:48","75,400","76,200","75,100","75,500","67,302","5,089,846,900"
"06/14,10:47","77,400","77,500","75,100","75,400","144,878","11,009,379,200"
"06/14,10:46","79,000","79,300","76,500","77,400","146,075","11,329,788,100"
"06/14,10:45","79,500","79,800","78,500","79,100","78,002","6,169,858,200"
"06/14,10:44","79,000","79,900","78,600","79,400","104,388","8,289,090,500"
"06/14,10:43","78,800","79,500","78,000","79,000","128,435","10,109,958,400"
"06/14,10:42","78,600","79,700","78,600","78,800","114,198","9,041,518,600"
