순위,전일,종목코드,종목명,현재가,전일대비,,등락률,매도호가,매수호가,거래량,전일거래량,거래대금
137,233,457550,우진엔텍,"41,350",▲,950,2.35,"41,350","41,300","851,141","525,629","34,823"
138,272,035900,JYP Ent.,"56,200",▼,-700,-1.23,"56,300","56,200","619,583","285,469","34,678"
139,167,036930,주성엔지니어링,"36,600",▲,900,2.52,"36,600","36,550","943,044","786,648","34,167"
140,119,058470,리노공업,"260,500",▼,"-1,500",-0.57,"260,500","260,000","129,800","150,288","33,789"
141,275,010620,HD현대미포,"79,500",▲,"2,300",2.98,"79,600","79,500","420,769","209,680","33,565"
142,219,047810,한국항공우주,"53,900",▲,700,1.32,"54,000","53,900","604,465","409,014","32,293"
143,170,025320,시노펙스,"10,210",▼,-210,-2.02,"10,220","10,210","3,114,519","2,670,399","32,024"
144,110,352820,하이브,"200,500",▲,600,0.3,"201,000","200,500","158,866","216,279","31,777"
145,271,032830,삼성생명,"87,400",▲,"3,400",4.05,"87,400","87,300","364,936","198,006","31,649"
146,258,000810,삼성화재,"344,500",▲,"10,500",3.14,"344,500","344,000","91,295","53,901","31,185"
147,72,090460,비에이치,"24,700",▼,-300,-1.2,"24,750","24,700","1,251,585","2,860,175","30,892"
148,158,066970,엘앤에프,"153,200",▼,-200,-0.13,"153,300","153,200","200,033","202,152","30,697"
149,787,356680,엑스게이트,"5,290",▼,-50,-0.94,"5,300","5,290","5,337,073","525,862","30,325"
150,25,388790,라이콤,"3,895",▼,-565,-12.67,"3,895","3,890","7,605,103","35,797,982","29,800"
151,187,051900,LG생활건강,"381,500",▼,"-7,000",-1.8,"382,000","381,500","77,455","65,581","29,676"
152,163,000100,유한양행,"76,200",▲,600,0.79,"76,200","76,100","381,696","383,351","28,851"
153,154,015760,한국전력,"20,100",▲,260,1.31,"20,100","20,050","1,435,929","1,600,534","28,707"
154,296,222800,심텍,"36,900",▲,750,2.07,"36,950","36,900","769,793","390,190","28,222"
155,175,103590,일진전기,"25,300",▼,-350,-1.36,"25,350","25,300","1,084,718","1,041,960","28,028"
156,292,240810,원익IPS,"36,500",▼,-450,-1.22,"36,550","36,500","744,882","407,521","27,924"
157,138,074600,원익QnC,"38,550",▲,250,0.65,"38,600","38,550","722,741","901,468","27,888"
158,140,016360,삼성증권,"37,900",▲,750,2.02,"37,900","37,850","727,271","932,476","27,571"
159,88,140430,카티스,"6,540",▲,50,0.77,"6,540","6,530","4,116,446","8,104,386","27,499"
160,172,097950,CJ제일제당,"396,000",▼,-500,-0.13,"396,000","395,500","69,143","68,725","27,147"
161,372,098460,고영,"12,810",▲,560,4.57,"12,820","12,810","2,102,676","823,498","27,043"
162,512,036200,유니셈,"10,900",▲,210,1.96,"10,910","10,900","2,395,523","542,977","26,623"
163,54,432430,와이랩,"13,400",▼,"-1,480",-9.95,"13,410","13,400","1,932,708","5,564,580","26,512"
164,261,082740,한화엔진,"15,650",▲,390,2.56,"15,650","15,640","1,718,600","1,162,828","26,439"
165,133,022100,포스코DX,"40,250",▼,-250,-0.62,"40,250","40,200","656,909","868,953","26,306"
166,146,020150,롯데에너지머티리얼즈,"55,700",▼,"-1,600",-2.79,"55,800","55,700","463,550","565,460","26,220"
167,94,010690,화신,"13,740",▼,-360,-2.55,"13,740","13,730","1,832,274","3,637,221","25,689"
168,148,121600,나노신소재,"123,900",▼,"-2,100",-1.67,"124,300","123,900","201,166","255,315","25,090"
169,251,088980,맥쿼리인프라,"12,530",▼,-70,-0.56,"12,540","12,530","1,971,922","1,462,474","24,735"
170,131,028050,삼성E&A,"22,250",▲,300,1.37,"22,250","22,200","1,104,825","1,674,457","24,611"
171,35,452430,사피엔반도체,"29,050",▲,600,2.11,"29,100","29,050","847,501","3,965,326","24,154"
172,213,192820,코스맥스,"187,100",▼,"-1,300",-0.69,"187,100","187,000","124,585","117,959","24,113"
173,105,078150,HB테크놀러지,"3,465",▼,-70,-1.98,"3,470","3,465","6,645,259","13,185,898","23,327"
174,247,214450,파마리서치,"138,800",▲,900,0.65,"138,800","138,700","166,611","135,664","23,184"
175,169,161390,한국타이어앤테크놀로지,"47,000",▲,650,1.4,"47,100","47,000","489,395","596,757","23,096"
176,139,417200,LS머트리얼즈,"25,100",▲,450,1.83,"25,150","25,100","918,519","1,401,835","22,988"
177,151,204320,HL만도,"45,250",▲,900,2.03,"45,300","45,250","499,827","709,937","22,760"
178,361,445090,에이직랜드,"49,800",▲,"2,350",4.95,"49,800","49,750","460,247","227,170","22,623"
179,210,005290,동진쎄미켐,"42,850",▲,650,1.54,"42,850","42,800","525,628","532,686","22,453"
180,265,087010,펩트론,"37,350",▲,150,0.4,"37,500","37,350","580,215","464,564","22,308"
181,79,086710,선진뷰티사이언스,"20,500",▼,-750,-3.53,"20,550","20,500","1,069,764","2,913,740","22,241"
182,102,338840,와이바이오로직스,"10,450",▲,870,9.08,"10,500","10,450","2,135,952","4,675,436","22,041"
183,196,084690,대상홀딩스,"12,250",▼,-570,-4.45,"12,270","12,250","1,769,080","1,963,861","21,603"
184,194,002710,TCC스틸,"56,000",▲,"2,000",3.7,"56,000","55,900","394,796","456,187","21,592"
185,57,362320,청담글로벌,"12,730",▲,20,0.16,"12,740","12,730","1,679,519","6,499,562","21,383"
186,364,030520,한글과컴퓨터,"23,000",▼,"-1,100",-4.56,"23,050","23,000","918,046","433,766","21,335"
187,174,214420,토니모리,"13,740",▼,"-1,340",-8.89,"13,750","13,740","1,488,264","1,785,276","21,304"
188,229,277810,레인보우로보틱스,"165,700",▼,"-2,300",-1.37,"165,800","165,700","128,204","123,750","21,209"
189,153,017670,SK텔레콤,"51,200",▼,-300,-0.58,"51,200","51,100","409,864","621,638","21,006"
190,554,089010,켐트로닉스,"29,750",▲,"1,100",3.84,"29,750","29,700","700,881","180,883","20,879"
191,283,079370,제우스,"18,800",▼,-10,-0.05,"18,800","18,790","1,099,550","836,187","20,855"
192,255,241710,코스메카코리아,"74,700",▲,"2,000",2.75,"74,700","74,600","276,453","249,495","20,687"
193,150,005850,에스엘,"44,200",▼,-800,-1.78,"44,200","44,150","460,248","710,756","20,564"
194,398,003490,대한항공,"21,550",▼,-200,-0.92,"21,600","21,550","943,801","422,691","20,330"
195,165,012510,더존비즈온,"60,900",▼,-100,-0.16,"60,900","60,800","331,946","480,362","20,043"
196,301,267250,HD현대,"70,000",▲,"1,700",2.49,"70,000","69,900","285,237","201,985","19,918"
197,442,310210,보로노이,"46,300",▲,"3,650",8.56,"46,350","46,300","430,799","180,933","19,754"
198,287,095340,ISC,"68,100",▼,-100,-0.15,"68,100","68,000","292,529","222,472","19,750"
199,40,248170,샘표식품,"38,100",▼,"-2,250",-5.58,"38,350","38,100","498,634","2,531,190","19,744"
200,288,253590,네오셈,"11,400",▲,480,4.4,"11,400","11,390","1,722,358","1,352,976","19,492"
201,208,260970,에스앤디,"48,700",▼,"-3,700",-7.06,"48,700","48,650","400,079","447,161","19,489"
202,114,451250,삐아,"20,500",▼,-50,-0.24,"20,500","20,450","962,233","2,002,179","19,380"
203,263,036810,에프에스티,"36,050",▼,-600,-1.64,"36,100","36,050","529,868","473,009","19,217"
204,380,003550,LG,"81,700",▲,"2,200",2.77,"81,700","81,600","232,990","123,816","18,934"
205,929,049070,인탑스,"25,650",▲,"2,650",11.52,"25,650","25,600","758,290","87,067","18,821"
206,352,950140,잉글우드랩,"24,000",▼,-350,-1.44,"24,050","24,000","762,809","463,706","18,794"
207,199,005387,현대차2우B,"168,500",▲,"1,400",0.84,"168,600","168,500","109,757","144,511","18,594"
208,310,281820,케이씨텍,"45,400",▲,300,0.67,"45,450","45,400","399,036","301,349","18,586"
209,434,011780,금호석유,"150,300",▲,"5,300",3.66,"150,300","150,200","123,140","52,577","18,532"
210,721,140860,파크시스템스,"191,700",▲,"13,100",7.33,"191,800","191,700","98,179","18,422","18,527"
